"drug","synonym"
"HUMIRA","- Adalimumab"
"HUMIRA","- Imraldi"
"HUMIRA","- Amgevita"
"HUMIRA","- Hulio"
"HUMIRA","- Hyrimoz"
"HUMIRA","- Cyltezo."
"ENBREL","Etanercept"
"ENBREL","Benepali"
"ENBREL","Erelzi"
"ENBREL","Brenzcatepine"
"ZANTAC","Ranitidine"
"ZANTAC","Acid Reducer"
"ZANTAC","Ranitidine Hydrochloride"
"ZANTAC","Zantac"
"ZANTAC","Zantac 360"
"REVLIMID","Lenalidomide"
"REVLIMID","CC-5013"
"DUPIXENT","Dupilumab"
"ASPIRIN","Acetylsalicylic acid"
"ASPIRIN","Bayer"
"ASPIRIN","Bufferin"
"ASPIRIN","Ecotrin"
"ASPIRIN","Aspro"
"ASPIRIN","Alka-Seltzer."
"METFORMIN","Glucophage"
"METFORMIN","Glucophage XR"
"METFORMIN","Fortamet"
"METFORMIN","Riomet"
"METFORMIN","Glumetza"
"METFORMIN","Diaformin."
"AMLODIPINE","Norvasc"
"AMLODIPINE","Amvaz"
"AMLODIPINE","Istin"
"AMLODIPINE","Amloc"
"AMLODIPINE","Amdipin"
"AMLODIPINE","Amlostin"
"AMLODIPINE","Amlobeta"
"METHOTREXATE","Rheumatrex"
"METHOTREXATE","Trexall"
"METHOTREXATE","Folex"
"METHOTREXATE","Otrexup"
"METHOTREXATE","Rasuvo"
"METHOTREXATE","RediTrex"
"METHOTREXATE","Xatmep."
"ATORVASTATIN","Lipitor"
"ATORVASTATIN","Torvast"
"ATORVASTATIN","Torvastatin"
"ATORVASTATIN","Sortis"
"ATORVASTATIN","Liprimar"
"ATORVASTATIN","Clonamox"
"ATORVASTATIN","Storvas"
"ATORVASTATIN","Atorlip"
"ATORVASTATIN","Xavator."
