"drug","side_effects","n"
"humira","Abdominal pain",147
"zantac","Drug ineffective",138
"zantac","Off label use",138
"aspirin","Dizziness",126
"aspirin","Fatigue",126
"aspirin","Haemoglobin decreased",119
"humira","Diarrhoea",105
"humira","Malaise",98
"aspirin","Diarrhoea",91
"humira","Drug ineffective",91
"humira","Fall",91
"humira","Pain",91
"aspirin","Headache",84
"aspirin","Rash",84
"humira","Crohn^s disease",84
"revlimid","Death",84
"zantac","Dizziness",84
"zantac","Headache",84
"aspirin","Drug interaction",77
"aspirin","Nausea",77
"humira","Asthenia",77
"humira","Injection site pain",77
"humira","Nausea",77
"humira","Pneumonia",77
"humira","Psoriasis",77
"humira","Weight decreased",77
